"State","City","Revenue"
"Alabama","Auburn","889.47"
"Alabama","Hoover","3557.85"
"Alabama","Phenix City","1663.14"
"Arizona","Casas Adobes","6612.72"
"Arizona","Glendale","1977.92"
"Arizona","Sun City","2063.48"
"Arizona","Surprise","11944.52"
"Arizona","Yuma","1564.98"
"Arkansas","Sherwood","5594.07"
"California","Davis","13509.12"
"California","Escondido","9772.03"
"California","Fresno","6927.68"
"California","Hacienda Heights","9663.33"
"California","Huntington Beach","640.75"
"California","Long Beach","1735.36"
"California","Los Angeles","255472.95"
"California","Los Gatos","62889.25"
"California","Manhattan Beach","1534.32"
"California","Menlo Park","768.98"
"California","Mountain View","7235.79"
"California","Murrieta","1080.58"
"California","Oakland","3085.05"
"California","San Carlos","2122.73"
"California","San Francisco","44963.17"
"California","Santa Cruz","61646.26"
"California","Stockton","12893.42"
"California","Temecula","1452.9"
"California","Twentynine Palms","31581.95"
"California","Woodland","6323.69"
"Colorado","Lakewood","6956.09"
"Colorado","Northglenn","4336.4"
"Connecticut","Meriden","11546.59"
"Delaware","Wilmington","1419.38"
"District of Columbia","Washington","22094.55"
"Florida","Belle Glade","1035.61"
"Florida","Boca Raton","826.19"
"Florida","Bradenton","9390.4"
"Florida","Dunedin","2867.56"
"Florida","Fort Pierce","3163.53"
"Florida","Gainesville","4212.69"
"Florida","Miami","3949.43"
"Florida","North Port","3513.52"
"Florida","Oakland Park","1663.49"
"Florida","Orlando","5140"
"Florida","Pensacola","708.73"
"Florida","Poinciana","11401.82"
"Florida","Saint Petersburg","218.95"
"Florida","Tallahassee","4589.95"
"Florida","Winter Haven","1464.3"
"Georgia","Albany","205.62"
"Georgia","Atlanta","2492.34"
"Georgia","Dunwoody","12752.65"
"Georgia","East Point","62098.26"
"Georgia","Hinesville","2820.67"
"Georgia","Kennesaw","26885.37"
"Georgia","La Grange","700.73"
"Idaho","Caldwell","810.42"
"Illinois","Carbondale","8189.7"
"Illinois","Carpentersville","2714.5"
"Illinois","Chicago","51894.51"
"Illinois","Collinsville","3316.57"
"Illinois","Des Plaines","2373.43"
"Illinois","Mount Prospect","1971.48"
"Illinois","Mundelein","3038.25"
"Illinois","Naperville","2147.16"
"Illinois","Northbrook","2259.33"
"Illinois","Peoria","2483.08"
"Illinois","Streamwood","7918.94"
"Illinois","Vernon Hills","4900.15"
"Illinois","Woodstock","2708.32"
"Indiana","Anderson","1037.97"
"Indiana","Indianapolis","2146.85"
"Indiana","Lafayette","10181.92"
"Indiana","Marion","5544.25"
"Indiana","Merrillville","2674.79"
"Iowa","Council Bluffs","1427.45"
"Iowa","Marshalltown","601.76"
"Kansas","Hutchinson","6788.93"
"Kansas","Wichita","2652.87"
"Louisiana","Alexandria","8963.31"
"Louisiana","New Orleans","2141.15"
"Maine","Auburn","10805.77"
"Maine","Saco","3942.6"
"Maryland","Clinton","4245.05"
"Maryland","Gaithersburg","420.78"
"Massachusetts","Boston","5743.6"
"Massachusetts","Gardner","6554.71"
"Massachusetts","Shrewsbury","360.24"
"Massachusetts","Southbridge","7893.52"
"Michigan","Detroit","8737.27"
"Michigan","Holland","6501.36"
"Michigan","Madison Heights","1695.9"
"Michigan","Midland","3317.2"
"Michigan","Rochester Hills","10918.62"
"Michigan","Southgate","8411.66"
"Minnesota","Lino Lakes","6307.53"
"Minnesota","Minnetonka","323.23"
"Minnesota","Prior Lake","1146.62"
"Minnesota","Richfield","1070.49"
"Minnesota","Saint Paul","2880.14"
