"State","City","Revenue","Profit"
"Arkansas","Sherwood",5594.07,-1902.74418
"California","Davis",13509.12,862.1484999999998
"California","Escondido",9772.029999999999,1596.67996
"California","Fresno",6927.68,-117.29695999999996
"California","Hacienda Heights",9663.33,-380.51002
"California","Huntington Beach",640.7499999999999,70.754
"California","Long Beach",1735.3599999999997,-465.2702
"California","Los Angeles",255472.95,47902.2901405
"California","Los Gatos",62889.250000000015,13109.495089700002
"California","Manhattan Beach",1534.32,59.51299999999999
"California","Menlo Park",768.98,-288.3068
"California","Mountain View",7235.79,565.322026
"California","Murrieta",1080.58,-202.22755999999998
"California","Oakland",3085.05,2573.1924
"California","San Carlos",2122.73,1025.0494039999999
"California","San Francisco",44963.17000000001,11473.310082
"California","Santa Cruz",61646.26,-196.63744850000165
"California","Stockton",12893.42,3766.8214179999995
"California","Temecula",1452.8999999999999,-1488.7349120000001
"California","Twentynine Palms",31581.95,4324.244
"California","Woodland",6323.6900000000005,618.1057000000001
"Colorado","Lakewood",6956.09,2430.2576
"Colorado","Northglenn",4336.4,314.85110000000003
"Florida","Belle Glade",1035.61,-319.18980000000005
"Florida","Boca Raton",826.1899999999999,-87.20048
"Florida","Bradenton",9390.400000000001,-855.6458040000001
"Florida","Dunedin",2867.5600000000004,-326.67186599999997
"Florida","Fort Pierce",3163.5299999999997,1061.458108
"Florida","Gainesville",4212.69,2038.9390999999998
"Florida","Miami",3949.4300000000003,806.1560199999999
"Florida","North Port",3513.5200000000004,-2135.2423000000003
"Florida","Oakland Park",1663.49,-5.832640000000003
"Florida","Orlando",5140,3670.384
"Florida","Pensacola",708.73,-71.6226
"Florida","Poinciana",11401.820000000002,-1009.866986
"Florida","Saint Petersburg",218.95,-1441.11792
"Florida","Tallahassee",4589.95,689.9635999999999
"Florida","Winter Haven",1464.2999999999997,-1087.0296799999999
